time_trim_mean,total_fc_bias,time_max,input_image_channels,total_conv_kernelsizes,time_mean,batchsize,input_image_size,total_pool_paddings,total_pool_strides,total_conv_paddings,total_conv_bias,total_conv_filters,total_conv_strides,time_median,time_min,total_fc_units,total_pool_sizes,total_conv_acts,total_fc_acts,net_string
34.04232859611511,1,35.058021545410156,2,0,33.09285640716553,1,498,0,0,0,0,0,0,35.01403331756592,23.53191375732422,128,0,0,1,"[IN(1,498,2), FC(1,248004,2,128,1,1), OUT(1,128,1)]"
245.76443433761597,0,250.07104873657227,3,0,246.11496925354004,128,458,1,32,0,0,0,0,245.81539630889893,244.9631690979004,640,34,0,1,"[IN(128,458,3), P(128,458,3,5,4,0), P(128,114,3,3,4,1), FC(128,12996,3,128,1,0), FC(128,128,1,512,0,0), OUT(128,512,1)]"
236.873596906662,1,237.3831272125244,3,4,236.88669204711914,128,363,1,13,0,0,1024,4,236.86695098876953,236.4950180053711,2056,29,1,1,"[IN(128,363,3), P(128,363,3,5,3,0), C(128,120,3,1024,2,2,0,1,0), P(128,60,1024,2,2,1), FC(128,3600,1024,8,1,1), FC(128,8,1,2048,0,0), OUT(128,2048,1)]"
46.03034257888794,1,46.33212089538574,1,4,45.97957134246826,64,448,0,0,0,0,32,4,46.06950283050537,45.22085189819336,2,0,0,0,"[IN(64,448,1), C(64,448,1,32,2,2,0,0,0), FC(64,50176,32,2,0,1), OUT(64,2,1)]"
781.3740670681,1,784.7929000854492,3,36,781.5906524658203,256,322,0,0,1,1,64,9,780.4660797119141,780.1210880279541,512,0,1,0,"[IN(256,322,3), C(256,322,3,64,6,3,1,1,1), FC(256,103684,64,512,0,1), OUT(256,512,1)]"
20.835399627685547,2,21.559953689575195,1,0,20.85709571838379,32,68,0,4,0,0,0,0,20.730018615722656,20.32780647277832,6242,1,0,2,"[IN(32,68,1), P(32,68,1,1,2,0), FC(32,1156,1,2,0,0), FC(32,2,1,1024,0,0), FC(32,1024,1,64,1,0), FC(32,64,1,4096,0,0), FC(32,4096,1,32,1,1), FC(32,32,1,1024,0,1), OUT(32,1024,1)]"
133.1726610660553,0,133.60595703125,2,0,133.2057237625122,2,227,0,0,0,0,0,0,133.13591480255127,133.0699920654297,4096,0,0,0,"[IN(2,227,2), FC(2,51529,2,4096,0,0), OUT(2,4096,1)]"
1.7586052417755127,1,1.8870830535888672,3,0,1.7563104629516602,4,159,1,9,0,0,0,0,1.7420053482055664,1.6071796417236328,64,4,0,1,"[IN(4,159,3), P(4,159,3,2,3,1), FC(4,25281,3,64,1,1), OUT(4,64,1)]"
67.9461658000946,0,70.36089897155762,2,65,68.05853843688965,128,245,1,4,1,1,520,20,67.54851341247559,66.65515899658203,0,25,1,0,"[IN(128,245,2), C(128,245,2,512,4,4,0,0,0), P(128,61,512,5,2,1), C(128,61,512,8,7,2,1,1,1), OUT(128,61,8)]"
31.427890062332153,2,31.72612190246582,2,0,31.430721282958984,8,511,0,0,0,0,0,0,31.438469886779785,31.157970428466797,36,0,0,1,"[IN(8,511,2), FC(8,261121,2,4,1,1), FC(8,4,1,32,0,1), OUT(8,32,1)]"
92.30795502662659,0,92.64993667602539,1,1,92.30005741119385,128,501,4,51,1,1,1024,16,92.3454761505127,91.88699722290039,0,101,0,0,"[IN(128,501,1), P(128,501,1,6,3,1), P(128,501,1,2,4,1), P(128,501,1,4,4,1), P(128,501,1,3,1,0), P(128,499,1,6,3,1), C(128,499,1,1024,1,4,1,0,1), OUT(128,499,1024)]"
1.738131046295166,1,1.8460750579833984,1,49,1.7405986785888672,8,155,0,9,1,0,128,9,1.720428466796875,1.6548633575439453,48,16,0,1,"[IN(8,155,1), C(8,155,1,128,7,3,1,0,0), P(8,155,128,4,3,0), FC(8,2601,128,16,1,0), FC(8,16,1,32,0,1), OUT(8,32,1)]"
73.55502247810364,1,74.06997680664062,3,0,73.5720157623291,64,228,0,0,0,0,0,0,73.53341579437256,73.21000099182129,32,0,0,1,"[IN(64,228,3), FC(64,51984,3,32,1,1), OUT(64,32,1)]"
122.09370732307434,1,122.39980697631836,3,0,122.10423946380615,8,297,0,0,0,0,0,0,122.08092212677002,121.89292907714844,578,0,0,0,"[IN(8,297,3), FC(8,88209,3,64,0,1), FC(8,64,1,2,0,0), FC(8,2,1,512,0,0), OUT(8,512,1)]"
3.590494394302368,0,3.7729740142822266,2,16,3.5979747772216797,8,355,0,0,0,1,2,16,3.589034080505371,3.482818603515625,0,0,0,0,"[IN(8,355,2), C(8,355,2,2,4,4,0,0,1), OUT(8,88,2)]"
56.43528699874878,0,58.351993560791016,2,53,56.57672882080078,128,270,1,16,2,1,192,25,56.25200271606445,55.93299865722656,0,36,2,0,"[IN(128,270,2), C(128,270,2,64,2,4,1,1,1), P(128,270,64,6,4,1), C(128,270,64,128,7,3,1,1,0), OUT(128,270,128)]"
0.3687739372253418,0,0.3960132598876953,3,0,0.3701210021972656,16,37,0,4,0,0,0,0,0.3695487976074219,0.35500526428222656,0,1,0,0,"[IN(16,37,3), P(16,37,3,1,2,0), OUT(16,19,3)]"
220.73808312416077,0,221.19593620300293,3,0,220.75486183166504,128,448,1,9,0,0,0,0,220.75343132019043,220.44801712036133,0,36,0,0,"[IN(128,448,3), P(128,448,3,6,3,1), OUT(128,448,3)]"
23.16632866859436,0,23.445844650268555,1,0,23.13382625579834,64,258,0,0,0,0,0,0,23.235440254211426,22.56178855895996,16,0,0,1,"[IN(64,258,1), FC(64,66564,1,8,1,0), FC(64,8,1,8,0,0), OUT(64,8,1)]"
48.84043335914612,1,49.07798767089844,1,9,48.85354042053223,8,84,0,0,0,1,128,4,48.8283634185791,48.73394966125488,8200,0,0,1,"[IN(8,84,1), C(8,84,1,128,3,2,0,0,1), FC(8,1681,128,8,0,0), FC(8,8,1,8192,1,1), OUT(8,8192,1)]"
17.33839511871338,0,21.663904190063477,3,0,17.690205574035645,32,272,0,0,0,0,0,0,16.95549488067627,16.530990600585938,8,0,0,0,"[IN(32,272,3), FC(32,73984,3,4,0,0), FC(32,4,1,4,0,0), OUT(32,4,1)]"
2.8973817825317383,0,3.239154815673828,3,16,2.8733253479003906,8,100,0,0,1,1,32,1,3.1675100326538086,2.315044403076172,0,0,1,0,"[IN(8,100,3), C(8,100,3,32,4,1,1,1,1), OUT(8,100,32)]"
279.5898914337158,1,281.1160087585449,3,0,279.7060012817383,4,151,0,0,0,0,0,0,279.4874906539917,279.2248725891113,8448,0,0,2,"[IN(4,151,3), FC(4,22801,3,256,1,1), FC(4,256,1,8192,1,0), OUT(4,8192,1)]"
4.538774490356445,0,8.32509994506836,1,25,4.8702239990234375,256,103,2,17,0,1,64,4,4.323601722717285,4.066944122314453,2,40,1,0,"[IN(256,103,1), P(256,103,1,6,4,1), C(256,103,1,64,5,2,0,1,1), P(256,50,64,2,1,1), FC(256,2500,64,2,0,0), OUT(256,2,1)]"
1.3272464275360107,1,1.5380382537841797,2,0,1.3339996337890625,1,49,0,0,0,0,0,0,1.3315677642822266,1.1839866638183594,1153,0,0,0,"[IN(1,49,2), FC(1,2401,2,1024,0,0), FC(1,1024,1,1,0,1), FC(1,1,1,128,0,0), OUT(1,128,1)]"
1.2378990650177002,1,1.3170242309570312,2,0,1.239609718322754,16,35,0,0,0,0,0,0,1.2345314025878906,1.1758804321289062,33,0,0,0,"[IN(16,35,2), FC(16,1225,2,1,0,0), FC(16,1,1,32,0,1), OUT(16,32,1)]"
1.4406144618988037,0,1.619100570678711,3,0,1.4544963836669922,1,441,0,4,0,0,0,0,1.4429092407226562,1.4009475708007812,0,49,0,0,"[IN(1,441,3), P(1,441,3,7,2,0), OUT(1,218,3)]"
52.9249906539917,1,53.82394790649414,1,0,52.9843807220459,64,464,0,0,0,0,0,0,52.90102958679199,52.61993408203125,2,0,0,0,"[IN(64,464,1), FC(64,215296,1,2,0,1), OUT(64,2,1)]"
46.20864987373352,1,46.536922454833984,1,0,46.15950584411621,1,96,0,0,0,0,0,0,46.245455741882324,45.38893699645996,8193,0,0,2,"[IN(1,96,1), FC(1,9216,1,8192,1,1), FC(1,8192,1,1,1,0), OUT(1,1,1)]"
0.3886222839355469,0,0.4870891571044922,3,0,0.3959178924560547,1,107,1,4,0,0,0,0,0.3750324249267578,0.3631114959716797,0,4,0,0,"[IN(1,107,3), P(1,107,3,2,2,1), OUT(1,107,3)]"
18.610388040542603,2,19.283771514892578,2,36,18.602490425109863,16,182,1,32,0,0,32,4,18.54705810546875,17.858028411865234,12292,61,0,0,"[IN(16,182,2), P(16,182,2,6,4,0), P(16,45,2,5,4,1), C(16,45,2,32,6,2,0,0,0), FC(16,400,32,8192,0,0), FC(16,8192,1,4096,0,1), FC(16,4096,1,4,0,1), OUT(16,4,1)]"
11.562526226043701,0,12.803077697753906,1,0,11.405324935913086,128,140,1,5,0,0,0,0,12.444496154785156,8.749961853027344,2,50,0,1,"[IN(128,140,1), P(128,140,1,7,2,0), P(128,67,1,1,1,1), FC(128,4489,1,2,1,0), OUT(128,2,1)]"
1.9997954368591309,0,2.093076705932617,3,83,2.0029306411743164,2,282,0,25,1,0,131,19,2.0051002502441406,1.9378662109375,0,26,3,0,"[IN(2,282,3), C(2,282,3,1,7,3,0,1,0), C(2,92,1,128,3,3,1,1,0), P(2,92,128,5,4,0), C(2,22,128,2,5,1,0,1,0), P(2,18,2,1,3,0), OUT(2,6,2)]"
1.7213821411132812,0,1.8849372863769531,2,0,1.7204999923706055,1,309,0,0,0,0,0,0,1.7604827880859375,1.5490055084228516,4,0,0,1,"[IN(1,309,2), FC(1,95481,2,4,1,0), OUT(1,4,1)]"
9.856998920440674,0,12.692928314208984,1,61,9.987401962280273,32,371,0,0,1,1,2,13,9.509563446044922,8.32509994506836,0,0,1,0,"[IN(32,371,1), C(32,371,1,1,5,2,0,0,1), C(32,184,1,1,6,3,1,1,0), OUT(32,184,1)]"
0.686347484588623,0,0.7150173187255859,1,1,0.6843805313110352,1,303,0,0,0,1,8,9,0.6896257400512695,0.6380081176757812,0,0,1,0,"[IN(1,303,1), C(1,303,1,8,1,3,0,1,1), OUT(1,101,8)]"
359.3907356262207,0,359.9088191986084,3,49,359.36458110809326,64,225,0,0,1,1,1024,4,359.28499698638916,358.6111068725586,0,0,0,0,"[IN(64,225,3), C(64,225,3,1024,7,2,1,0,1), OUT(64,225,1024)]"
1.774132251739502,1,1.8188953399658203,2,16,1.7738103866577148,2,235,0,17,0,0,1024,16,1.7733573913574219,1.7261505126953125,1024,13,1,1,"[IN(2,235,2), C(2,235,2,1024,4,4,0,1,0), P(2,58,1024,3,4,0), P(2,14,1024,2,1,0), FC(2,169,1024,1024,1,1), OUT(2,1024,1)]"
7.71215558052063,0,8.181095123291016,2,25,7.726430892944336,2,252,0,0,0,1,64,1,7.574558258056641,7.385969161987305,64,0,0,1,"[IN(2,252,2), C(2,252,2,64,5,1,0,0,1), FC(2,61504,64,64,1,0), OUT(2,64,1)]"
14.367282390594482,1,14.636993408203125,3,0,14.383935928344727,2,248,0,16,0,0,0,0,14.349102973937988,14.264106750488281,2048,49,0,1,"[IN(2,248,3), P(2,248,3,7,4,0), FC(2,3721,3,2048,1,1), OUT(2,2048,1)]"
0.6989836692810059,0,0.7469654083251953,3,25,0.697779655456543,2,76,0,0,1,1,64,4,0.7059574127197266,0.6389617919921875,0,0,1,0,"[IN(2,76,3), C(2,76,3,64,5,2,1,1,1), OUT(2,76,64)]"
0.8771419525146484,0,0.9570121765136719,1,0,0.8803129196166992,32,49,1,1,0,0,0,0,0.8770227432250977,0.8289813995361328,0,36,0,0,"[IN(32,49,1), P(32,49,1,6,1,1), OUT(32,49,1)]"
8.511960506439209,1,8.565187454223633,3,4,8.510088920593262,2,474,0,0,0,1,4,4,8.531451225280762,8.440017700195312,321,0,0,2,"[IN(2,474,3), C(2,474,3,4,2,2,0,0,1), FC(2,56169,4,256,1,0), FC(2,256,1,1,1,1), FC(2,1,1,64,0,0), OUT(2,64,1)]"
80.14416694641113,0,80.28602600097656,2,58,80.14254570007324,1,488,0,0,0,0,1056,10,80.17051219940186,79.9860954284668,8193,0,1,1,"[IN(1,488,2), C(1,488,2,32,3,1,0,1,0), C(1,486,32,1024,7,3,0,0,0), FC(1,25600,1024,1,0,0), FC(1,1,1,8192,1,0), OUT(1,8192,1)]"
293.72289776802063,1,295.9439754486084,2,13,293.7516212463379,256,431,0,0,1,1,65,8,294.0554618835449,291.78905487060547,3,0,0,1,"[IN(256,431,2), C(256,431,2,1,2,2,1,0,0), C(256,431,1,64,3,2,0,0,1), FC(256,46225,64,1,1,1), FC(256,1,1,2,0,0), OUT(256,2,1)]"
1.271665096282959,0,1.3759136199951172,1,0,1.2789249420166016,4,430,0,9,0,0,0,0,1.260995864868164,1.2400150299072266,0,36,0,0,"[IN(4,430,1), P(4,430,1,6,3,0), OUT(4,142,1)]"
5.589157342910767,0,5.711078643798828,2,0,5.588817596435547,8,215,0,0,0,0,0,0,5.5991411209106445,5.463838577270508,8,0,0,0,"[IN(8,215,2), FC(8,46225,2,8,0,0), OUT(8,8,1)]"
392.2477960586548,3,399.5840549468994,2,0,392.7447319030762,2,386,0,0,0,0,0,0,392.11809635162354,389.880895614624,5333,0,0,6,"[IN(2,386,2), FC(2,148996,2,4,1,0), FC(2,4,1,4096,1,1), FC(2,4096,1,1024,0,0), FC(2,1024,1,128,1,0), FC(2,128,1,1,1,1), FC(2,1,1,64,1,1), FC(2,64,1,16,1,0), OUT(2,16,1)]"
185.9038770198822,0,186.47289276123047,1,0,185.90409755706787,256,506,0,16,0,0,0,0,186.01155281066895,185.33706665039062,0,25,0,0,"[IN(256,506,1), P(256,506,1,5,4,0), OUT(256,126,1)]"
26.089370250701904,0,28.88202667236328,3,4,26.117396354675293,16,262,0,0,1,1,512,9,26.299476623535156,23.576974868774414,256,0,1,0,"[IN(16,262,3), C(16,262,3,512,2,3,1,1,1), FC(16,68644,512,256,0,0), OUT(16,256,1)]"
6.281614303588867,1,7.1887969970703125,2,49,6.067061424255371,8,114,1,1,1,1,128,4,6.435990333557129,3.228902816772461,32,36,1,0,"[IN(8,114,2), P(8,114,2,6,1,1), C(8,114,2,128,7,2,1,1,1), FC(8,12996,128,32,0,1), OUT(8,32,1)]"
